factor,producer,pub,group,direction,missing_rate_overall,missing_rate_listed,ic_mean_10d,ic_mean_20d,ic_mean_2d,ic_mean_5d,ic_std_10d,ic_std_20d,ic_std_2d,ic_std_5d,ic_t_10d,ic_t_20d,ic_t_2d,ic_t_5d,icir_10d,icir_20d,icir_2d,icir_5d,n_days_10d,n_days_20d,n_days_2d,n_days_5d,pct_positive_10d,pct_positive_20d,pct_positive_2d,pct_positive_5d,monotonicity,ann_return_G1,ann_return_G5,ann_return_LongShort,ann_vol_LongShort,sharpe_LongShort,mean_turnover_LongShort,time_window_start,time_window_end,eval_timestamp
BETA10,alpha158,,,-1,0.329498,0.098117,0.041153,0.046865,0.038492,0.039810,0.135517,0.133847,0.142401,0.137770,14.969524,17.260064,13.324801,14.244282,0.303672,0.350138,0.270307,0.288960,2430.000000,2430.000000,2430.000000,2430.000000,0.620988,0.632099,0.603292,0.614403,0.615475,-0.140072,0.049041,0.214816,0.129258,1.661914,1.283089,2016-01-01,2025-12-31,20260525_220745
BETA20,alpha158,,,-1,0.329498,0.098117,0.057439,0.062445,0.040016,0.049832,0.139245,0.140405,0.149287,0.143974,20.334220,21.924035,13.213535,17.061945,0.412500,0.444751,0.268050,0.346119,2430.000000,2430.000000,2430.000000,2430.000000,0.655967,0.669547,0.609877,0.637037,0.736671,-0.138354,0.073528,0.238462,0.134800,1.769006,0.781134,2016-01-01,2025-12-31,20260525_220745
BETA30,alpha158,,,-1,0.329498,0.098117,0.060791,0.063401,0.040305,0.052805,0.147586,0.146243,0.152315,0.150223,20.304951,21.371012,13.044085,17.327818,0.411907,0.433533,0.264613,0.351512,2430.000000,2430.000000,2430.000000,2430.000000,0.650206,0.660494,0.603292,0.623868,0.822394,-0.138647,0.093743,0.260574,0.137065,1.901098,0.564173,2016-01-01,2025-12-31,20260525_220745
BETA5,alpha158,,,-1,0.329498,0.098117,0.031020,0.032520,0.038349,0.034982,0.128452,0.128712,0.141274,0.132205,11.904508,12.454582,13.381130,13.043488,0.241495,0.252654,0.271450,0.264600,2430.000000,2430.000000,2430.000000,2430.000000,0.600412,0.593004,0.625926,0.610288,0.729705,-0.158295,0.075811,0.274099,0.121446,2.256959,1.567121,2016-01-01,2025-12-31,20260525_220745
BETA60,alpha158,,,-1,0.329498,0.098117,0.047248,0.050839,0.028345,0.039576,0.155893,0.152535,0.158909,0.157842,14.940297,16.429739,8.792736,12.359971,0.303079,0.333294,0.178370,0.250735,2430.000000,2430.000000,2430.000000,2430.000000,0.599177,0.622634,0.559259,0.582716,0.920343,-0.081141,0.097447,0.184402,0.140784,1.309819,0.310766,2016-01-01,2025-12-31,20260525_220745
CNTD10,alpha158,,,-1,0.329498,0.098117,0.013859,0.019459,0.016572,0.014978,0.101128,0.102045,0.100304,0.098772,6.755773,9.400058,8.144345,7.475015,0.137048,0.190690,0.165216,0.151638,2430.000000,2430.000000,2430.000000,2430.000000,0.550206,0.562963,0.565021,0.544444,0.677868,-0.027967,0.045209,0.072667,0.092444,0.786072,1.142058,2016-01-01,2025-12-31,20260525_220745
CNTD20,alpha158,,,-1,0.329498,0.098117,0.020574,0.025212,0.017470,0.018826,0.102719,0.104350,0.104442,0.102531,9.873353,11.909970,8.245556,9.051258,0.200291,0.241606,0.167270,0.183614,2430.000000,2430.000000,2430.000000,2430.000000,0.563374,0.575720,0.565432,0.569959,0.864704,-0.026123,0.063026,0.087715,0.099111,0.885021,0.822947,2016-01-01,2025-12-31,20260525_220745
CNTD30,alpha158,,,-1,0.329498,0.098117,0.020860,0.026357,0.015151,0.018281,0.105756,0.108079,0.105888,0.103859,9.723183,12.021462,7.053270,8.676830,0.197245,0.243868,0.143083,0.176018,2430.000000,2430.000000,2430.000000,2430.000000,0.562140,0.562551,0.537449,0.551440,0.808537,-0.032649,0.061161,0.092126,0.099221,0.928493,0.673795,2016-01-01,2025-12-31,20260525_220745
CNTD5,alpha158,,,-1,0.329498,0.098117,0.012609,0.015210,0.020144,0.015343,0.097817,0.099198,0.103001,0.100563,6.354193,7.558210,9.640836,7.521125,0.128901,0.153326,0.195574,0.152574,2430.000000,2430.000000,2430.000000,2430.000000,0.536626,0.551440,0.582305,0.554321,0.840288,-0.036884,0.056895,0.095483,0.090022,1.060665,1.563062,2016-01-01,2025-12-31,20260525_220745
CNTD60,alpha158,,,-1,0.329498,0.098117,0.016764,0.020009,0.009412,0.013388,0.106684,0.108601,0.106814,0.106276,7.745945,9.082173,4.343462,6.209840,0.157134,0.184241,0.088112,0.125973,2430.000000,2430.000000,2430.000000,2430.000000,0.549794,0.555556,0.518107,0.532099,0.824030,-0.016822,0.054026,0.066478,0.098313,0.676192,0.474324,2016-01-01,2025-12-31,20260525_220745
CNTN10,alpha158,,,1,0.329498,0.098117,0.011466,0.016362,0.015317,0.013158,0.102292,0.102413,0.101521,0.099809,5.525684,7.875688,7.437517,6.498854,0.112094,0.159766,0.150878,0.131836,2430.000000,2430.000000,2430.000000,2430.000000,0.540329,0.553909,0.557202,0.536214,0.709632,-0.032705,0.050111,0.084017,0.090902,0.924264,1.123147,2016-01-01,2025-12-31,20260525_220745
CNTN20,alpha158,,,1,0.329498,0.098117,0.017756,0.021255,0.016084,0.016757,0.103290,0.103471,0.105171,0.103366,8.474264,10.126249,7.538833,7.991535,0.171909,0.205421,0.152933,0.162116,2430.000000,2430.000000,2430.000000,2430.000000,0.565844,0.568724,0.571605,0.562551,0.851083,-0.032960,0.066013,0.100067,0.095834,1.044167,0.809161,2016-01-01,2025-12-31,20260525_220745
